IP/HOST,PORT,GB/S,CONTINENT,COUNTRY,SITE,PROVIDER
nl.speed.vps1.net,5201-5210,,Europe,NL,Dronten,vps1
iperf1.surfwireless.nl,5201-5220,,Europe,NL,Lelystad,SURFnet
iperf.worldstream.nl,5201-5205,10,Europe,NL,Naaldwijk,Worldstream
lg.gigahost.no,9205-9240,100,Europe,NO,Sandefjord,Gigahost
speedsrv.multinet24.pl,5301-5310,1,Europe,PL,Debica,Multinet24
185.246.208.67,5201,2x10,Europe,PL,Warsaw,DATAPACKET
109.61.94.65,5201,2x10,Europe,PT,Lisbon,DATAPACKET
185.102.217.170,5201,2x10,Europe,RO,Bucharest,DATAPACKET
speedtest1.sox.rs,9205-9240,10,Europe,RS,Belgrade,SOX
iperf.fegis.nu,5201-5207,10,Europe,SE,Alvsjo,Hostup
speedtest.kamel.network,5201-5205,1,Europe,SE,Kista,Kamel Networks
185.76.9.135,5201,2x10,Europe,SE,Stockholm,DATAPACKET
156.146.40.65,5201,2x10,Europe,SK,Bratislava,DATAPACKET
37.19.218.65,5201,2x10,Europe,UA,Kyiv,DATAPACKET
speed.cosmonova.net,5201-5209,40,Europe,UA,Kyiv,Cosmonova
148.230.60.200,30001-30009,10,Latin America,BR,Sao Paulo,FortiSASE
138.199.4.1,5201,2x10,Latin America,BR,São Paulo,DATAPACKET
79.127.209.1,5201,2x10,Latin America,CL,Santiago,DATAPACKET
156.146.53.53,5201,2x10,Latin America,CR,San Jose,DATAPACKET
speedtest.masnet.ec,5201-5209,1,Latin America,EC,Santa Ana,MásNet
speedtest1.flowjamaica.com,5506-5520,1,Latin America,JM,Portmore,Flow
121.127.43.65,5201,2x10,Latin America,MX,Querétaro,DATAPACKET
speedtest1.cwpanama.net,5505-5509,1,Latin America,PA,Colón,CW Panama
speedtest6.cwpanama.net,5505-5509,1,Latin America,PA,Panamá,CW Panama
speedtest.mtl2.ca.leaseweb.net,5201-5210,10,North America,CA,Montreal,LeaseWeb
speedtest.goco.ca,9205-9240,10,North America,CA,Montreal,TELUS
173.243.131.29,30001-30009,10,North America,CA,Ottawa,FortiSASE
138.199.57.129,5201,2x10,North America,CA,Toronto,DATAPACKET
96.45.43.6,30001-30009,10,North America,CA,Toronto,FortiSASE
204.155.243.172,30001-30009,10,North America,CA,Toronto,FortiSASE
66.35.30.9,30001-30009,10,North America,CA,Vancouver,FortiSASE
speed.couch.ca,15201-15210,1,North America,CA,Victoria,couch.ca
yyc-speedtest.xplore.ca,8070-8099,,North America,CA,Woodstock,Xplore
ash.speedtest.clouvider.net,5200-5209,10,North America,US,Ashburn,Clouvider
37.19.206.20,5201,2x10,North America,US,Ashburn,DATAPACKET
66.35.22.79,30001-30009,10,North America,US,Ashburn,FortiSASE
atl.speedtest.clouvider.net,5200-5209,10,North America,US,Atlanta,Clouvider
185.152.66.67,5201,2x10,North America,US,Atlanta,DATAPACKET
109.61.86.65,5201,2x10,North America,US,Boston,DATAPACKET
speedtest.chi11.us.leaseweb.net,5201-5210,10,North America,US,Chicago,LeaseWeb
185.93.1.65,5201,2x10,North America,US,Chicago,DATAPACKET
chi.speedtest.clouvider.net,5201-5209,10,North America,US,Chicago,Clouvider
speedtest.dal13.us.leaseweb.net,5201-5210,10,North America,US,Dallas,LeaseWeb
dal.speedtest.clouvider.net,5200-5209,10,North America,US,Dallas,Clouvider
89.187.164.1,5201,2x10,North America,US,Dallas,DATAPACKET
dfw.speedtest.is.cc,5203-5210,100,North America,US,Dallas,InterServer.net
66.35.27.207,30001-30009,10,North America,US,Dallas,FortiSASE
37.19.216.1,5201,2x10,North America,US,Houston,DATAPACKET
speedtest.nocix.net,5201-5205,200,North America,US,Kansas City,NOCIX
la.speedtest.clouvider.net,5200-5209,10,North America,US,Los Angeles,Clouvider
speedtest.lax12.us.leaseweb.net,5201-5210,10,North America,US,Los Angeles,LeaseWeb
185.152.67.2,5201,2x10,North America,US,Los Angeles,DATAPACKET
speedtest.mia11.us.leaseweb.net,5201-5210,10,North America,US,Miami,LeaseWeb
195.181.162.195,5201,2x10,North America,US,Miami,DATAPACKET
23.249.54.234,30002-30009,10,North America,US,Miami,FortiSASE
spd-uswb.hostkey.com,5201-5209,10,North America,US,New York,HOSTKEY
185.59.223.8,5201,2x10,North America,US,New York,DATAPACKET
speedtest.nyc1.us.leaseweb.net,5201-5210,10,North America,US,New York City,LeaseWeb
speedtest.phx1.us.leaseweb.net,5201-5210,10,North America,US,Phoenix,LeaseWeb
phx.speedtest.clouvider.net,5200-5209,10,North America,US,Phoenix,Clouvider
209.40.123.215,30001-30009,10,North America,US,Plano,FortiSASE
speedtest.xmission.com,5201-5209,,North America,US,Salt Lake,XMISSION
speedtest.sfo12.us.leaseweb.net,5201-5210,10,North America,US,San Francisco,LeaseWeb
66.35.20.123,30001-30009,10,North America,US,San Jose,FortiSASE
148.230.59.38,30001-30009,10,North America,US,San Jose,FortiSASE
speedtest.sea11.us.leaseweb.net,5201-5210,10,North America,US,Seattle,LeaseWeb
84.17.41.11,5201,2x10,North America,US,Seattle,DATAPACKET
speedtest.wdc2.us.leaseweb.net,5201-5210,10,North America,US,Washington,LeaseWeb
speedtest.syd12.au.leaseweb.net,5201-5210,10,Oceania,AU,Sydney,LeaseWeb
143.244.63.144,5201,2x10,Oceania,AU,Sydney,DATAPACKET
syd.proof.ovh.net,5201-5210,1,Oceania,AU,Sydney,OVH
96.45.44.87,30001-30009,10,Oceania,AU,Sydney,FortiSASE
speedtest.lagoon.nc,5202-5210,10,Oceania,NC,Noumea,Lagoon
akl.linetest.nz,5301-5309,10,Oceania,NZ,Auckland,2Degrees
72.1.86.46,30001-30009,10,Oceania,NZ,Auckland,FortiSASE
chch.linetest.nz,5301-5309,10,Oceania,NZ,Christchurch,2Degrees
154.81.51.4,5201,2x10,Oceania,PG,Port Moresby,DATAPACKET
103.146.200.98,5201,,Oceania,PG,Port Moresby,DATAPACKET
